Geneid	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
d6564a6a989e4e7381a19db2c93cf4b4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
c4d573f633b0a3a543a221a17694fb02	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
d78a807b145bb7d68201f14c493dc862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
73c868398ffa5e62ff23a014e7beeca9	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
992c95c87b5a1f36a4f0e14ed67cfb7e	0	0	0	0	0	0	0	0	0	1	7	0	0	10	0	0	0	0
287d75bb1acd0f7ba850c536e5a5dd1f	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
51f86cc2843247a59c2e963d03e44240	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
877247a04e52aa7478504ceaaeeeaf76	0	0	0	0	0	0	17	0	24	0	0	43	0	0	0	0	0	0
04dbe4217f408207f3c7eb06ed782a47	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
116a3ec4c772bc41f0b2710aa195f486	0	16	14	0	34	0	13	0	0	20	17	0	0	29	30	0	0	0
48c000c327bde9f54515ab5e5e0788c9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6e06384758eeb6b69b2c9562b5e363cb	0	0	0	10	0	50	0	0	0	0	0	0	0	0	0	0	0	0
645d2348d3de8cd71bc6b48f5388f600	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9cbc51775a8506f727c7cc764ac24ef8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
e27ba08a79130c55ab63227e2d15628e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
5262789008f6d1f686085fedf5c7ee52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
a9e3f6214777ef4474e02a7e70675da9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
946d7d520345bda81005e5039cd965ad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4859533095876e6d0ff144e092701cae	0	0	24	20	0	10	42	0	14	0	0	0	0	0	0	0	14	0
91a9332a6c55e86a19d6d7a8157180d9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
af904dddf6135ef3df1fce338c0aba60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0
ba0fa01fe7a0b00b3723792654647043	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8c27f73bb87196a35e203d83028cdcb3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1f234a46c9f797fd689bfae85b919cd8	8	0	0	0	0	0	0	0	0	0	11	0	0	0	7	0	0	0
01a7cd552e81b267475b18a80a42d154	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
827176229399b753b38c05acde4ad8c4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
3e44dd2b4264729518eaaa7f6c97b853	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
e143827c3059ee94932a7ffbda921f72	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c8ff732033d021f968bd68bd84f3fb34	30	0	0	0	0	0	0	0	0	26	63	0	0	50	0	0	0	0
ac3d8ce9a306cd9123d45aab9748cfb4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
d3cf5dfb75349803848aee93c01e941a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
4bc470831452f992aadab7610d21e9a3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22b1fed60cb4c8f4f6a268743fc85d18	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8ba8296a283e7432d47d24adba63d732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
42b27c64eca9fbfacd15aa5fdc893ff1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
c97396f2ff731e996e9230f2fffeb472	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
100846e43cfce1ed5d81d9c91e77ff29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
99817d47afc6ffb69e87382a20c76ec4	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
2293124e85bc6ef123a1c219056f8813	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0
615682f2068e16297346c392fd228d4f	0	0	0	0	0	0	0	11	0	0	0	0	5	16	0	0	0	0
7007db4938cf380b5224f84dbfa97a7d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3a9b385760bd1a953478ccf5534b0505	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0f78bd4950eeef49f89046657dfa0faf	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
e0103f0531122b0ff3e108e223bc136e	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d32813aaa5fb3ce1a16bfdb88012e11e	15	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
a35e3bad4cb07d6aad1418d4bc861189	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
d4259493abef3bbe7fd9b1d205545aa9	0	92	38	12	70	0	0	0	158	0	0	0	0	0	0	47	0	0
d92b8a9680805ae26ba81a60fdf016d9	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4b44a951145c6e558186c0ecaa9f6b9e	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eb682fae072bb513c1a4550deb903480	0	0	0	0	0	0	0	0	0	50	0	0	84	0	43	0	37	0
74bc23de0a44120f545a7fa4487d47a1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ee0808b584be5a5de5bff3536f323868	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
dfbf19ea7be2d8da4801bebf14c5cee0	0	0	0	47	0	38	56	0	23	0	0	16	0	16	28	31	21	0
87a6e1d4583c195999eafa5bb0453e17	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
507dc0309dcb83e3c30c730db03a336a	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
1c683b0c6aa5be875c438c938c8e4688	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
408dd66efe604131da7cdd05b1f45d6a	0	0	25	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0
9a588bf4e45e08ab808e8c76805b4744	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
1fbaaf4ced39ecc42b2f0a590886502f	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
799722adea556f6ff3a8b6ff3adb7bd3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
e21e36b93fecb688779a58c9842bbf64	0	0	0	8	0	0	0	0	0	6	0	22	0	0	0	0	9	7
9b07ebffbc045668765c2b8f24ade002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
7806aa0a4d04e64baae681da76de3dca	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
a2cddacc28a58a1c23b758131462ec1e	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aaa06e5aa8245ee7e8e508b7d1df7028	16	0	0	25	0	10	46	22	7	36	0	0	0	0	0	33	16	8
60d705e3c0b902129275e24850a06c01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
9160b015a01a8528898c7aa51ae21ad1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
cbded885a2a1707c4a179247dd3109f0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
fe5e90bf47f689bf1c4a95cd01f0eb40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
fba83cea54b6deb95a9db057a1be3a4e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
76ef4b2781dbbe83cc2fde7a4c68f1c6	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	12	0	15
