gene_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
d5328cb159bc7c532967eaacf363af3a,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
52cbf08b1c73d90290686afd3f6769a0,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
cfbc44bafee0f76e9f6bbb72866d83d2,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
ba7c7a4518d08ef74d8bb20e262b7ead,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
8b1e9aaf159cb7bad04489f98c7e9c99,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
2b73f175d606e0ba5c6160c80ea755f4,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
d16b86efbcbfbb8275ddb4c418d3ead6,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
4a656e471f39e148dd8287bbebb799b3,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
c924ee4ca11732a567ccb59d8fca79a9,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
0b9e190b24c2e0067a975528db3a86d1,Bacteria,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter
